input,target
16.24,15.997667253120659
-6.12,18.765091464062202
-5.28,37.057226126620705
-10.73,32.54072888046922
8.65,-16.97349842761863
-23.02,56.96956702923366
17.45,-23.223911699303365
-7.61,-2.746706906517536
3.19,33.86415247726337
-2.49,-10.586832463038597
14.62,75.6733350790014
-20.6,-13.93915418586779
-3.22,52.75897452086139
-3.84,49.48146163264422
11.34,7.091279653554145
-11.0,42.47970129979646
-1.72,29.5388621368566
-8.78,-58.441140262041756
0.42,9.39669381831689
5.83,-6.85386145952598
-11.01,10.446826512050464
11.45,-29.884654362303685
9.02,-23.438652446950123
5.02,-6.7683187363612145
9.01,0.5610952261017559
-6.84,20.27121543174061
-1.23,-15.105908458916772
-9.36,7.355653659624238
-2.68,-35.593926658527074
5.3,-25.084156987828987
-6.92,11.573556412188976
-3.97,37.56409556711369
-6.87,25.661802189895283
-8.45,-28.161106626480514
-6.71,54.13381260005707
-0.13,11.066158650099307
-11.17,41.737204121923796
2.34,72.34317618860834
16.6,29.1902616047039
7.42,46.15261102152411
-1.92,-31.67918694740241
-8.88,29.954039719410257
-7.47,-28.22900246521052
16.92,15.371841475145498
0.51,-7.510593970071319
-6.37,7.545476662094957
1.91,51.98210790434533
21.0,81.59799697534972
1.2,10.667192122000408
6.17,17.935214281064244
3.0,16.13416024582595
-3.52,29.977949235606552
-11.43,15.686913056546118
-3.49,-5.077261024756961
-2.09,-13.800544795091184
5.87,9.883377321610453
8.39,84.50234384401968
9.31,34.47304644507495
2.86,30.415520737405895
8.85,55.001277531815695
-7.54,-50.168897468416816
12.53,37.88094081435855
5.13,13.731155802008836
-2.98,37.0728453934926
4.89,-21.65019178186727
-0.76,-30.592104075871813
11.32,-33.45893532857183
15.2,33.62516001004089
21.86,36.20857467581176
-13.96,17.607418172778594
-14.44,18.687889377651892
-5.04,73.07782015557457
1.6,59.12699489276591
8.76,57.284973929191864
3.16,21.36860763854186
-20.22,12.130105648974942
-3.06,38.254184371311794
8.28,58.77386019794478
2.3,1.4140089713899684
7.62,80.14890417004793
-2.22,-39.32524690320064
-2.01,23.99473781858137
1.87,75.20493126401479
4.1,-44.34745188746451
1.98,54.931857636095195
1.19,15.275253501099584
-6.71,2.7538126000570715
3.78,15.744524673863204
1.22,46.60253036773157
11.29,-52.1075530607832
11.99,16.837973100023863
1.85,56.93889369074665
-3.75,39.60262022164149
-6.39,-8.391656660327293
4.23,-16.689620944546384
0.77,46.16212477813438
-3.44,25.566948528674814
0.44,86.57115368451298
-6.2,34.71422678593364
6.98,36.134234059185474
-4.47,60.99840376807779
12.25,-7.199140326924386
4.03,0.44991602380586393
5.94,43.457105067015625
-10.95,30.148330992761412
1.69,56.693561358370616
7.41,57.852981109468644
-9.54,-20.383498625605323
-2.66,43.292666419624474
0.33,9.42331236604348
-13.73,-19.496515946740047
3.15,34.513578955301966
8.46,41.54863512947886
-8.6,16.640888514839542
3.51,12.89603196610497
-13.12,20.343773444048985
-0.39,-1.265746661256423
-16.16,71.76235730421931
11.21,-62.091512053993405
4.09,13.30911435641648
-0.25,1.4741792427370513
-7.75,-28.60526276289087
12.74,-7.590872028615177
19.67,32.07918587971922
-18.58,43.96225432542619
12.36,-9.889720941246901
16.28,-1.191042476798835
3.38,18.37726271874464
-11.99,9.852026899976131
8.63,68.90809694777627
-1.81,41.968427847419385
-6.04,9.564260466591854
